name,label
aletes_humilis,Aletes humilis
aletes_sessiliflorus,Aletes sessiliflorus
alhagi,Alhagi
alhagi_maurorum,Alhagi maurorum
aliciella,Aliciella
aliciella_haydenii,Aliciella haydenii
aliciella_haydenii_ssp_crandallii,Aliciella haydenii ssp. crandallii
aliciella_haydenii_ssp_haydenii,Aliciella haydenii ssp. haydenii
aliciella_leptomeria,Aliciella leptomeria
aliciella_micromeria,Aliciella micromeria
aliciella_penstemonoides,Aliciella penstemonoides
aliciella_pinnatifida,Aliciella pinnatifida
aliciella_sedifolia,Aliciella sedifolia
aliciella_stenothyrsa,Aliciella stenothyrsa
aliciella_triodon,Aliciella triodon
alisma,Alisma
alisma_gramineum,Alisma gramineum
alisma_subcordatum,Alisma subcordatum
alisma_triviale,Alisma triviale
alliaria,Alliaria
alliaria_petiolata,Alliaria petiolata
allionia,Allionia
allionia_choisyi,Allionia choisyi
allionia_incarnata,Allionia incarnata
allium,Allium
allium_acuminatum,Allium acuminatum
allium_brandegeei,Allium brandegeei
allium_brevistylum,Allium brevistylum
allium_cernuum,Allium cernuum
allium_geyeri,Allium geyeri
allium_geyeri_var_geyeri,Allium geyeri var. geyeri
allium_geyeri_var_tenerum,Allium geyeri var. tenerum
allium_macropetalum,Allium macropetalum
allium_nevadense,Allium nevadense
allium_sativum,Allium sativum
allium_schoenoprasum,Allium schoenoprasum
allium_textile,Allium textile
almutaster,Almutaster
almutaster_pauciflorus,Almutaster pauciflorus
alnus,Alnus
alnus_incana_ssp_tenuifolia,Alnus incana ssp. tenuifolia
alopecurus,Alopecurus
alopecurus_aequalis,Alopecurus aequalis
alopecurus_arundinaceus,Alopecurus arundinaceus
alopecurus_carolinianus,Alopecurus carolinianus
alopecurus_geniculatus,Alopecurus geniculatus
alopecurus_magellenicus,Alopecurus magellenicus
alopecurus_pratensis,Alopecurus pratensis
alyssum,Alyssum
alyssum_alyssoides,Alyssum alyssoides
alyssum_desertorum,Alyssum desertorum
alyssum_murale,Alyssum murale
alyssum_simplex,Alyssum simplex
amaranthus,Amaranthus
amaranthus_albus,Amaranthus albus
amaranthus_arenicola,Amaranthus arenicola
amaranthus_blitoides,Amaranthus blitoides
amaranthus_hybridus,Amaranthus hybridus
amaranthus_palmeri,Amaranthus palmeri
amaranthus_powellii,Amaranthus powellii
amaranthus_retroflexus,Amaranthus retroflexus
amaranthus_wrightii,Amaranthus wrightii
ambrosia,Ambrosia
ambrosia_acanthicarpa,Ambrosia acanthicarpa
ambrosia_artemisiifolia,Ambrosia artemisiifolia
ambrosia_confertiflora,Ambrosia confertiflora
ambrosia_grayi,Ambrosia grayi
ambrosia_linearis,Ambrosia linearis
ambrosia_psilostachya,Ambrosia psilostachya
ambrosia_tomentosa,Ambrosia tomentosa
ambrosia_trifida_var_trifida,Ambrosia trifida var. trifida
amelanchier,Amelanchier
amelanchier_alnifolia,Amelanchier alnifolia
amelanchier_alnifolia_var_alnifolia,Amelanchier alnifolia var. alnifolia
amelanchier_alnifolia_var_pumila,Amelanchier alnifolia var. pumila
amelanchier_alnifolia_var_utahensis,Amelanchier alnifolia var. utahensis
ammannia,Ammannia
ammannia_robusta,Ammannia robusta
amorpha,Amorpha
amorpha_canescens,Amorpha canescens
amorpha_fruticosa,Amorpha fruticosa
amorpha_nana,Amorpha nana
amphiscirpus,Amphiscirpus
amphiscirpus_nevadensis,Amphiscirpus nevadensis
amsinckia,Amsinckia
amsinckia_lycopsoides,Amsinckia lycopsoides
amsinckia_menziesii_var_menziesii,Amsinckia menziesii var. menziesii
amsonia,Amsonia
amsonia_jonesii,Amsonia jonesii
anagallis,Anagallis
anagallis_arvensis,Anagallis arvensis
anagallis_minima,Anagallis minima
anaphalis,Anaphalis
anaphalis_margaritacea,Anaphalis margaritacea
anchusa,Anchusa
anchusa_azurea,Anchusa azurea
anchusa_officinalis,Anchusa officinalis
andropogon,Andropogon
andropogon_gerardii,Andropogon gerardii
andropogon_hallii,Andropogon hallii
androsace,Androsace
androsace_chamaejasme_ssp_carinata,Androsace chamaejasme ssp. carinata
androsace_filiformis,Androsace filiformis
androsace_lehmanniana,Androsace lehmanniana
androsace_occidentalis,Androsace occidentalis
androsace_septentrionalis,Androsace septentrionalis
androstephium,Androstephium
androstephium_breviflorum,Androstephium breviflorum
anemonastrum,Anemonastrum
anemonastrum_canadense,Anemonastrum canadense
anemonastrum_zephyrum,Anemonastrum zephyrum
anemone,Anemone
anemone_canadensis,Anemone canadensis
anemone_cylindrica,Anemone cylindrica
anemone_multifida_var_multifida,Anemone multifida var. multifida
anemone_narcissiflora_var_zephyra,Anemone narcissiflora var. zephyra
anemone_parviflora,Anemone parviflora
anemone_patens_var_multifida,Anemone patens var. multifida
anemone_virginiana,Anemone virginiana
anemopsis,Anemopsis
anemopsis_californica,Anemopsis californica
angelica,Angelica
angelica_ampla,Angelica ampla
angelica_grayi,Angelica grayi
angelica_pinnata,Angelica pinnata
anoda,Anoda
anoda_cristata,Anoda cristata
antennaria,Antennaria
antennaria_anaphaloides,Antennaria anaphaloides
antennaria_corymbosa,Antennaria corymbosa
antennaria_dimorpha,Antennaria dimorpha
antennaria_luzuloides_ssp_luzuloides,Antennaria luzuloides ssp. luzuloides
antennaria_marginata,Antennaria marginata
antennaria_media,Antennaria media
antennaria_microphylla,Antennaria microphylla
antennaria_neglecta,Antennaria neglecta
antennaria_parvifolia,Antennaria parvifolia
antennaria_pulcherrima,Antennaria pulcherrima
antennaria_rosea,Antennaria rosea
antennaria_rosulata,Antennaria rosulata
antennaria_umbrinella,Antennaria umbrinella
anthemis,Anthemis
anthemis_arvensis,Anthemis arvensis
anthemis_cotula,Anthemis cotula
anthemis_tinctoria,Anthemis tinctoria
anthoxanthum,Anthoxanthum
anthoxanthum_hirtum,Anthoxanthum hirtum
anthoxanthum_nitens,Anthoxanthum nitens
anthoxanthum_odoratum,Anthoxanthum odoratum
anticlea,Anticlea
anticlea_elegans,Anticlea elegans
anticlea_vaginata,Anticlea vaginata
anticlea_virescens,Anticlea virescens
apera,Apera
apera_interrupta,Apera interrupta
aphyllon,Aphyllon
aphyllon_cooperi,Aphyllon cooperi
aphyllon_fasciculatum,Aphyllon fasciculatum
aphyllon_ludovicianum,Aphyllon ludovicianum
aphyllon_multiflorum,Aphyllon multiflorum
aphyllon_purpureum,Aphyllon purpureum
aphyllon_riparium,Aphyllon riparium
apios,Apios
apios_americana,Apios americana
apocynum,Apocynum
apocynum_×floribundum,Apocynum ×floribundum
apocynum_androsaemifolium,Apocynum androsaemifolium
apocynum_cannabinum,Apocynum cannabinum
aquilegia,Aquilegia
aquilegia_barnebyi,Aquilegia barnebyi
aquilegia_chrysantha,Aquilegia chrysantha
aquilegia_coerulea,Aquilegia coerulea
aquilegia_coerulea_var_coerulea,Aquilegia coerulea var. coerulea
aquilegia_coerulea_var_ochroleuca,Aquilegia coerulea var. ochroleuca
aquilegia_elegantula,Aquilegia elegantula
aquilegia_micrantha,Aquilegia micrantha
aquilegia_saximontana,Aquilegia saximontana
arabis,Arabis
arabis_pycnocarpa_var_,Arabis pycnocarpa var. 
aralia,Aralia
aralia_bicrenata,Aralia bicrenata
aralia_nudicaulis,Aralia nudicaulis
aralia_racemosa_ssp_bicrenata,Aralia racemosa ssp. bicrenata
arceuthobium,Arceuthobium
arceuthobium_americanum,Arceuthobium americanum
arceuthobium_cyanocarpum,Arceuthobium cyanocarpum
arceuthobium_divaricatum,Arceuthobium divaricatum
arceuthobium_douglasii,Arceuthobium douglasii
arceuthobium_vaginatum_ssp_cryptopodum,Arceuthobium vaginatum ssp. cryptopodum
arctium,Arctium
arctium_lappa,Arctium lappa
arctium_minus,Arctium minus
arctium_tomentosum,Arctium tomentosum
arctostaphylos,Arctostaphylos
arctostaphylos_×coloradensis,Arctostaphylos ×coloradensis
arctostaphylos_patula,Arctostaphylos patula
arctostaphylos_uva-ursi,Arctostaphylos uva-ursi
arenaria,Arenaria
arenaria_lanuginosa_var_saxosa,Arenaria lanuginosa var. saxosa
arenaria_serpyllifolia,Arenaria serpyllifolia
argemone,Argemone
argemone_corymbosa_ssp_arenicola,Argemone corymbosa ssp. arenicola
argemone_hispida,Argemone hispida
argemone_polyanthemos,Argemone polyanthemos
argemone_squarrosa_ssp_squarrosa,Argemone squarrosa ssp. squarrosa
argentina,Argentina
argentina_anserina,Argentina anserina
argyrochosma,Argyrochosma
argyrochosma_fendleri,Argyrochosma fendleri
argythamnia,Argythamnia
argythamnia_humilis,Argythamnia humilis
argythamnia_mercurialina,Argythamnia mercurialina
arida,Arida
arida_parviflora,Arida parviflora
aristida,Aristida
aristida_adscensionis,Aristida adscensionis
aristida_arizonica,Aristida arizonica
aristida_basiramea,Aristida basiramea
aristida_dichotoma,Aristida dichotoma
aristida_divaricata,Aristida divaricata
aristida_havardii,Aristida havardii
aristida_oligantha,Aristida oligantha
aristida_purpurea,Aristida purpurea
aristida_purpurea_var_fendleriana,Aristida purpurea var. fendleriana
aristida_purpurea_var_longiseta,Aristida purpurea var. longiseta
aristida_purpurea_var_purpurea,Aristida purpurea var. purpurea
aristida_purpurea_var_wrightii,Aristida purpurea var. wrightii
armeria,Armeria
armeria_maritima_ssp_sibirica,Armeria maritima ssp. sibirica
armoracia,Armoracia
armoracia_rusticana,Armoracia rusticana
arnica,Arnica
arnica_chamissonis,Arnica chamissonis
arnica_cordifolia,Arnica cordifolia
arnica_fulgens,Arnica fulgens
arnica_gracilis,Arnica gracilis
arnica_latifolia,Arnica latifolia
arnica_longifolia,Arnica longifolia
arnica_mollis,Arnica mollis
arnica_parryi,Arnica parryi
arnica_rydbergii,Arnica rydbergii
arrhenatherum,Arrhenatherum
arrhenatherum_elatius_var_elatius,Arrhenatherum elatius var. elatius
artemisia,Artemisia
artemisia_abrotanum,Artemisia abrotanum
artemisia_absinthium,Artemisia absinthium
artemisia_annua,Artemisia annua
artemisia_arbuscula,Artemisia arbuscula
artemisia_arbuscula_ssp_arbuscula,Artemisia arbuscula ssp. arbuscula
artemisia_arbuscula_ssp_longiloba,Artemisia arbuscula ssp. longiloba
artemisia_arctica,Artemisia arctica
artemisia_biennis,Artemisia biennis
artemisia_biennis_var_biennis,Artemisia biennis var. biennis
artemisia_bigelovii,Artemisia bigelovii
artemisia_campestris,Artemisia campestris
artemisia_campestris_var_caudata,Artemisia campestris var. caudata
artemisia_campestris_var_pacifica,Artemisia campestris var. pacifica
artemisia_campestris_var_purshii,Artemisia campestris var. purshii
artemisia_cana,Artemisia cana
artemisia_cana_ssp_cana,Artemisia cana ssp. cana
artemisia_cana_ssp_viscidula,Artemisia cana ssp. viscidula
artemisia_capitata,Artemisia capitata
artemisia_carruthii,Artemisia carruthii
artemisia_dracunculus,Artemisia dracunculus
artemisia_filifolia,Artemisia filifolia
artemisia_franserioides,Artemisia franserioides
artemisia_frigida,Artemisia frigida
artemisia_longifolia,Artemisia longifolia
artemisia_ludoviciana,Artemisia ludoviciana
artemisia_ludoviciana_ssp_albula,Artemisia ludoviciana ssp. albula
artemisia_ludoviciana_ssp_incompta,Artemisia ludoviciana ssp. incompta
artemisia_ludoviciana_ssp_ludoviciana,Artemisia ludoviciana ssp. ludoviciana
artemisia_ludoviciana_ssp_mexicana,Artemisia ludoviciana ssp. mexicana
artemisia_michauxiana,Artemisia michauxiana
artemisia_nova,Artemisia nova
artemisia_nuttallii,Artemisia nuttallii
artemisia_parryi,Artemisia parryi
artemisia_pattersonii,Artemisia pattersonii
artemisia_pedatifida,Artemisia pedatifida
artemisia_pygmaea,Artemisia pygmaea
artemisia_scopulorum,Artemisia scopulorum
artemisia_spiciformis,Artemisia spiciformis
artemisia_spinescens,Artemisia spinescens
artemisia_tridentata,Artemisia tridentata
artemisia_tridentata_ssp_tridentata,Artemisia tridentata ssp. tridentata
artemisia_tridentata_ssp_vaseyana,Artemisia tridentata ssp. vaseyana
artemisia_tridentata_ssp_wyomingensis,Artemisia tridentata ssp. wyomingensis
artemisia_tripartita_ssp_tripartita,Artemisia tripartita ssp. tripartita
asclepias,Asclepias
asclepias_arenaria,Asclepias arenaria
asclepias_asperula_ssp_asperula,Asclepias asperula ssp. asperula
asclepias_cryptoceras_ssp_cryptoceras,Asclepias cryptoceras ssp. cryptoceras
asclepias_engelmanniana,Asclepias engelmanniana
asclepias_hallii,Asclepias hallii
asclepias_incarnata,Asclepias incarnata
asclepias_involucrata,Asclepias involucrata
asclepias_latifolia,Asclepias latifolia
asclepias_macrosperma,Asclepias macrosperma
asclepias_macrotis,Asclepias macrotis
asclepias_oenotheroides,Asclepias oenotheroides
asclepias_pumila,Asclepias pumila
asclepias_rusbyi,Asclepias rusbyi
asclepias_speciosa,Asclepias speciosa
asclepias_stenophylla,Asclepias stenophylla
asclepias_subverticillata,Asclepias subverticillata
asclepias_tuberosa_ssp_interior,Asclepias tuberosa ssp. interior
asclepias_uncialis_ssp_uncialis,Asclepias uncialis ssp. uncialis
asclepias_viridiflora,Asclepias viridiflora
askellia,Askellia
askellia_pygmaea,Askellia pygmaea
asparagus,Asparagus
asparagus_officinalis,Asparagus officinalis
asperugo,Asperugo
asperugo_procumbens,Asperugo procumbens
asplenium,Asplenium
asplenium_adiantum-nigrum,Asplenium adiantum-nigrum
asplenium_platyneuron,Asplenium platyneuron
asplenium_resiliens,Asplenium resiliens
asplenium_septentrionale,Asplenium septentrionale
asplenium_trichomanes_ssp_trichomanes,Asplenium trichomanes ssp. trichomanes
asplenium_trichomanes-ramosum,Asplenium trichomanes-ramosum
asplenium_viride,Asplenium viride
aster,Aster
aster_alpinus_ssp_vierhapperi,Aster alpinus ssp. vierhapperi
astragalus,Astragalus
astragalus_agrestis,Astragalus agrestis
astragalus_allochrous_var_playanus,Astragalus allochrous var. playanus
astragalus_alpinus,Astragalus alpinus
astragalus_americanus,Astragalus americanus
astragalus_amphioxys_var_vespertinus,Astragalus amphioxys var. vespertinus
astragalus_anisus,Astragalus anisus
astragalus_aretioides,Astragalus aretioides
astragalus_argophyllus_var_martinii,Astragalus argophyllus var. martinii
astragalus_asclepiadoides,Astragalus asclepiadoides
astragalus_australis,Astragalus australis
astragalus_bisulcatus,Astragalus bisulcatus
astragalus_bisulcatus_var_bisulcatus,Astragalus bisulcatus var. bisulcatus
astragalus_bisulcatus_var_haydenianus,Astragalus bisulcatus var. haydenianus
astragalus_bodinii,Astragalus bodinii
astragalus_brandegeei,Astragalus brandegeei
astragalus_calycosus,Astragalus calycosus
astragalus_calycosus_var_calycosus,Astragalus calycosus var. calycosus
astragalus_calycosus_var_scaposus,Astragalus calycosus var. scaposus
astragalus_canadensis,Astragalus canadensis
astragalus_canadensis_var_brevidens,Astragalus canadensis var. brevidens
astragalus_canadensis_var_canadensis,Astragalus canadensis var. canadensis
astragalus_ceramicus,Astragalus ceramicus
astragalus_ceramicus_var_ceramicus,Astragalus ceramicus var. ceramicus
astragalus_ceramicus_var_filifolius,Astragalus ceramicus var. filifolius
astragalus_cerussatus,Astragalus cerussatus
astragalus_chamaeleuce_var_chamaeleuce,Astragalus chamaeleuce var. chamaeleuce
astragalus_chloödes,Astragalus chloödes
astragalus_cibarius,Astragalus cibarius
astragalus_cicer,Astragalus cicer
astragalus_coltonii,Astragalus coltonii
astragalus_coltonii_var_coltonii,Astragalus coltonii var. coltonii
astragalus_coltonii_var_moabensis,Astragalus coltonii var. moabensis
astragalus_convallarius,Astragalus convallarius
astragalus_crassicarpus,Astragalus crassicarpus
astragalus_cronquistii,Astragalus cronquistii
astragalus_debequaeus,Astragalus debequaeus
astragalus_desperatus,Astragalus desperatus
astragalus_desperatus_var_desperatus,Astragalus desperatus var. desperatus
astragalus_desperatus_var_neeseae,Astragalus desperatus var. neeseae
astragalus_deterior,Astragalus deterior
astragalus_detritalis,Astragalus detritalis
astragalus_drummondii,Astragalus drummondii
astragalus_duchesnensis,Astragalus duchesnensis
astragalus_eastwoodiae,Astragalus eastwoodiae
astragalus_eucosmus,Astragalus eucosmus
astragalus_falcatus,Astragalus falcatus
astragalus_flavus,Astragalus flavus
astragalus_flexuosus,Astragalus flexuosus
astragalus_flexuosus_var_diehlii,Astragalus flexuosus var. diehlii
astragalus_flexuosus_var_flexuosus,Astragalus flexuosus var. flexuosus
astragalus_flexuosus_var_greenei,Astragalus flexuosus var. greenei
astragalus_fucatus,Astragalus fucatus
astragalus_geyeri_var_geyeri,Astragalus geyeri var. geyeri
astragalus_gilviflorus,Astragalus gilviflorus
astragalus_gracilis,Astragalus gracilis
astragalus_hallii_var_hallii,Astragalus hallii var. hallii
astragalus_humillimus,Astragalus humillimus
astragalus_humistratus_var_humistratus,Astragalus humistratus var. humistratus
astragalus_hyalinus,Astragalus hyalinus
astragalus_iodopetalus,Astragalus iodopetalus
astragalus_jejunus,Astragalus jejunus
astragalus_kentrophyta,Astragalus kentrophyta
astragalus_kentrophyta_var_elatus,Astragalus kentrophyta var. elatus
astragalus_kentrophyta_var_kentrophyta,Astragalus kentrophyta var. kentrophyta
astragalus_kentrophyta_var_tegetarius,Astragalus kentrophyta var. tegetarius
astragalus_laxmannii_var_robustior,Astragalus laxmannii var. robustior
astragalus_lentiginosus,Astragalus lentiginosus
astragalus_lentiginosus_var_chartaceus,Astragalus lentiginosus var. chartaceus
astragalus_lentiginosus_var_diphysus,Astragalus lentiginosus var. diphysus
astragalus_lentiginosus_var_palans,Astragalus lentiginosus var. palans
astragalus_leptaleus,Astragalus leptaleus
astragalus_linifolius,Astragalus linifolius
astragalus_lonchocarpus,Astragalus lonchocarpus
astragalus_lotiflorus,Astragalus lotiflorus
astragalus_lutosus,Astragalus lutosus
astragalus_megacarpus,Astragalus megacarpus
astragalus_microcymbus,Astragalus microcymbus
astragalus_miser_var_oblongifolius,Astragalus miser var. oblongifolius
astragalus_missouriensis,Astragalus missouriensis
astragalus_missouriensis_var_amphibolus,Astragalus missouriensis var. amphibolus
astragalus_missouriensis_var_humistratus,Astragalus missouriensis var. humistratus
astragalus_missouriensis_var_missouriensis,Astragalus missouriensis var. missouriensis
astragalus_mollissimus,Astragalus mollissimus
astragalus_molybdenus,Astragalus molybdenus
astragalus_monumentalis_var_cottamii,Astragalus monumentalis var. cottamii
astragalus_musiniensis,Astragalus musiniensis
astragalus_naturitensis,Astragalus naturitensis
astragalus_newberryi_var_newberryi,Astragalus newberryi var. newberryi
astragalus_nuttallianus_var_micranthiformis,Astragalus nuttallianus var. micranthiformis
astragalus_oocalycis,Astragalus oocalycis
astragalus_oophorus_var_caulescens,Astragalus oophorus var. caulescens
astragalus_osterhoutii,Astragalus osterhoutii
astragalus_parryi,Astragalus parryi
astragalus_pattersonii,Astragalus pattersonii
astragalus_pectinatus,Astragalus pectinatus
astragalus_pectinatus_var_pectinatus,Astragalus pectinatus var. pectinatus
astragalus_pectinatus_var_platyphyllus,Astragalus pectinatus var. platyphyllus
astragalus_piscator,Astragalus piscator
astragalus_plattensis,Astragalus plattensis
astragalus_praelongus,Astragalus praelongus
astragalus_praelongus_var_lonchopus,Astragalus praelongus var. lonchopus
astragalus_praelongus_var_praelongus,Astragalus praelongus var. praelongus
astragalus_preussii_var_preussii,Astragalus preussii var. preussii
astragalus_proximus,Astragalus proximus
astragalus_pubentissimus,Astragalus pubentissimus
astragalus_puniceus_var_puniceus,Astragalus puniceus var. puniceus
astragalus_purshii_var_purshii,Astragalus purshii var. purshii
astragalus_racemosus,Astragalus racemosus
astragalus_racemosus_var_racemosus,Astragalus racemosus var. racemosus
astragalus_racemosus_var_treleasei,Astragalus racemosus var. treleasei
astragalus_rafaelensis,Astragalus rafaelensis
astragalus_ripleyi,Astragalus ripleyi
astragalus_robbinsii_var_minor,Astragalus robbinsii var. minor
astragalus_saurinus,Astragalus saurinus
astragalus_schmolliae,Astragalus schmolliae
astragalus_scopulorum,Astragalus scopulorum
astragalus_sericoleucus,Astragalus sericoleucus
astragalus_sesquiflorus,Astragalus sesquiflorus
astragalus_shortianus,Astragalus shortianus
astragalus_sparsiflorus,Astragalus sparsiflorus
astragalus_sparsiflorus_var_majusculus,Astragalus sparsiflorus var. majusculus
astragalus_sparsiflorus_var_sparsiflorus,Astragalus sparsiflorus var. sparsiflorus
astragalus_spatulatus,Astragalus spatulatus
astragalus_tenellus,Astragalus tenellus
astragalus_thompsoniae,Astragalus thompsoniae
astragalus_tortipes,Astragalus tortipes
astragalus_tridactylicus,Astragalus tridactylicus
astragalus_wetherillii,Astragalus wetherillii
astragalus_wingatanus,Astragalus wingatanus
astrolepis,Astrolepis
astrolepis_cochisensis_ssp_cochisensis,Astrolepis cochisensis ssp. cochisensis
astrolepis_integerrima,Astrolepis integerrima
athyrium,Athyrium
athyrium_alpestre_var_americanum,Athyrium alpestre var. americanum
athyrium_distentifolium,Athyrium distentifolium
athyrium_filix-femina_var_californicum,Athyrium filix-femina var. californicum
atriplex,Atriplex
atriplex_argentea,Atriplex argentea
atriplex_canescens,Atriplex canescens
atriplex_confertifolia,Atriplex confertifolia
atriplex_corrugata,Atriplex corrugata
atriplex_gardneri,Atriplex gardneri
atriplex_graciliflora,Atriplex graciliflora
atriplex_heterosperma,Atriplex heterosperma
atriplex_hortensis,Atriplex hortensis
atriplex_micrantha,Atriplex micrantha
atriplex_obovata,Atriplex obovata
atriplex_patula,Atriplex patula
atriplex_pleiantha,Atriplex pleiantha
atriplex_powellii,Atriplex powellii
atriplex_rosea,Atriplex rosea
atriplex_saccaria,Atriplex saccaria
atriplex_subspicata,Atriplex subspicata
atriplex_suckleyi,Atriplex suckleyi
atriplex_tenuissima,Atriplex tenuissima
atriplex_truncata,Atriplex truncata
atriplex_wolfii,Atriplex wolfii
atriplex_wolfii_var_tenuissima,Atriplex wolfii var. tenuissima
atriplex_wolfii_var_wolfii,Atriplex wolfii var. wolfii
aulospermum,Aulospermum
aulospermum_duchesnense,Aulospermum duchesnense
avena,Avena
avena_fatua,Avena fatua
avena_sativa,Avena sativa
avenella,Avenella
avenella_flexuosa,Avenella flexuosa
avenula,Avenula
avenula_hookeri,Avenula hookeri
axyris,Axyris
axyris_amaranthoides,Axyris amaranthoides
azolla,Azolla
azolla_mexicana,Azolla mexicana
baccharis,Baccharis
baccharis_salicina,Baccharis salicina
baccharis_wrightii,Baccharis wrightii
bacopa,Bacopa
bacopa_rotundifolia,Bacopa rotundifolia
bahia,Bahia
bahia_dissecta,Bahia dissecta
balsamorhiza,Balsamorhiza
balsamorhiza_hispidula,Balsamorhiza hispidula
balsamorhiza_sagittata,Balsamorhiza sagittata
barbarea,Barbarea
barbarea_orthoceras,Barbarea orthoceras
barbarea_vulgaris,Barbarea vulgaris
bassia,Bassia
bassia_hyssopifolia,Bassia hyssopifolia
bassia_scoparia_ssp_scoparia,Bassia scoparia ssp. scoparia
beckmannia,Beckmannia
beckmannia_syzigachne,Beckmannia syzigachne
berberis,Berberis
berberis_fendleri,Berberis fendleri
berberis_fremontii,Berberis fremontii
berberis_haematocarpa,Berberis haematocarpa
berberis_repens,Berberis repens
berberis_vulgaris,Berberis vulgaris
bergia,Bergia
bergia_texana,Bergia texana
berlandiera,Berlandiera
berlandiera_lyrata,Berlandiera lyrata
berteroa,Berteroa
berteroa_incana,Berteroa incana
berula,Berula
berula_erecta,Berula erecta
besseya,Besseya
besseya_alpina,Besseya alpina
besseya_plantaginea,Besseya plantaginea
besseya_ritteriana,Besseya ritteriana
besseya_wyomingensis,Besseya wyomingensis
betula,Betula
betula_×eastwoodiae,Betula ×eastwoodiae
betula_glandulosa,Betula glandulosa
betula_occidentalis,Betula occidentalis
betula_papyrifera_var_papyrifera,Betula papyrifera var. papyrifera
betula_pendula,Betula pendula
bidens,Bidens
bidens_bigelovii,Bidens bigelovii
bidens_cernua,Bidens cernua
bidens_frondosa,Bidens frondosa
bidens_tenuisecta,Bidens tenuisecta
bidens_tripartita,Bidens tripartita
bidens_vulgata,Bidens vulgata
bistorta,Bistorta
bistorta_bistortoides,Bistorta bistortoides
bistorta_vivipara,Bistorta vivipara
blitum,Blitum
blitum_capitatum,Blitum capitatum
blitum_hastatum,Blitum hastatum
